timestamp,safety_switch_available,safety_off,override_available,override_enabled
2909793,1,0,0,0
2931806,1,0,0,0
2953788,1,0,0,0
2975771,1,0,0,0
2997774,1,0,0,0
3019778,1,0,0,0
3041766,1,0,0,0
3063778,1,0,0,0
3085768,1,0,0,0
3107787,1,0,0,0
3129772,1,0,0,0
3151858,1,0,0,0
3173767,1,0,0,0
3195828,1,0,0,0
3217783,1,0,0,0
3239804,1,0,0,0
3261826,1,0,0,0
3285342,1,0,0,0
3309345,1,0,0,0
3333303,1,0,0,0
3357331,1,0,0,0
3377340,1,0,0,0
3401345,1,0,0,0
3421334,1,0,0,0
3441328,1,0,0,0
3465346,1,0,0,0
3485315,1,0,0,0
3509382,1,0,0,0
3533305,1,0,0,0
3557341,1,0,0,0
3581302,1,0,0,0
3605350,1,0,0,0
3625307,1,0,0,0
3645345,1,0,0,0
3665366,1,0,0,0
3689327,1,0,0,0
3709335,1,0,0,0
3733333,1,0,0,0
3753331,1,0,0,0
3777327,1,0,0,0
3801350,1,0,0,0
3821338,1,0,0,0
3845349,1,0,0,0
3869317,1,0,0,0
3893349,1,0,0,0
3917303,1,0,0,0
3937308,1,0,0,0
3957314,1,0,0,0
3981344,1,0,0,0
4005306,1,0,0,0
4029328,1,0,0,0
4053318,1,0,0,0
4077342,1,0,0,0
4101325,1,0,0,0
4125322,1,0,0,0
4149344,1,0,0,0
4173319,1,0,0,0
4193312,1,0,0,0
4217323,1,0,0,0
4241317,1,0,0,0
4265342,1,0,0,0
4289310,1,0,0,0
4309327,1,0,0,0
4333288,1,0,0,0
4353300,1,0,0,0
4377359,1,0,0,0
4397368,1,0,0,0
4417415,1,0,0,0
4441316,1,0,0,0
4462129,1,0,0,0
4482934,1,0,0,0
4506970,1,0,0,0
4530966,1,0,0,0
4554928,1,0,0,0
4578928,1,0,0,0
4598933,1,0,0,0
4619816,1,0,0,0
4643704,1,0,0,0
4667747,1,0,0,0
4691743,1,0,0,0
4715768,1,0,0,0
4735744,1,0,0,0
4755757,1,0,0,0
4779805,1,0,0,0
4803757,1,0,0,0
4827748,1,0,0,0
4851734,1,0,0,0
4871727,1,0,0,0
4891728,1,0,0,0
4911728,1,0,0,0
4931727,1,0,0,0
4955739,1,0,0,0
4975744,1,0,0,0
4999803,1,0,0,0
5023754,1,0,0,0
5043758,1,0,0,0
5063754,1,0,0,0
5087735,1,0,0,0
5107732,1,0,0,0
5131788,1,0,0,0
5155760,1,0,0,0
5179800,1,0,0,0
5199857,1,0,0,0
5223731,1,0,0,0
5243728,1,0,0,0
5267752,1,0,0,0
5287761,1,0,0,0
5311753,1,0,0,0
5335714,1,0,0,0
5355711,1,0,0,0
5375735,1,0,0,0
5399805,1,0,0,0
5423681,1,0,0,0
5447753,1,0,0,0
5467698,1,0,0,0
5491772,1,0,0,0
5515707,1,0,0,0
5535717,1,0,0,0
5559744,1,0,0,0
5583738,1,0,0,0
5607708,1,0,0,0
5627704,1,0,0,0
5647718,1,0,0,0
5667704,1,0,0,0
5687706,1,0,0,0
5711718,1,0,0,0
5731740,1,0,0,0
5755715,1,0,0,0
5775710,1,0,0,0
5799760,1,0,0,0
5823717,1,0,0,0
5843718,1,0,0,0
5867752,1,0,0,0
5891793,1,0,0,0
5915711,1,0,0,0
5939795,1,0,0,0
5963712,1,0,0,0
5983737,1,0,0,0
6007759,1,0,0,0
6029349,1,0,0,0
6053333,1,0,0,0
6077330,1,0,0,0
6101360,1,0,0,0
6125327,1,0,0,0
6149333,1,0,0,0
6169353,1,0,0,0
6193336,1,0,0,0
6213335,1,0,0,0
6233341,1,0,0,0
6253338,1,0,0,0
6277378,1,0,0,0
6297347,1,0,0,0
6317347,1,0,0,0
6337345,1,0,0,0
6357347,1,0,0,0
6381328,1,0,0,0
6405344,1,0,0,0
6429360,1,0,0,0
6453338,1,0,0,0
6477361,1,0,0,0
6501328,1,0,0,0
6521326,1,0,0,0
6541327,1,0,0,0
6561331,1,0,0,0
6585345,1,0,0,0
6609327,1,0,0,0
6633338,1,0,0,0
6657346,1,0,0,0
6677341,1,0,0,0
6697305,1,0,0,0
6721346,1,0,0,0
6745301,1,0,0,0
6769329,1,0,0,0
6789308,1,0,0,0
6809342,1,0,0,0
6833322,1,0,0,0
6857331,1,0,0,0
6881364,1,0,0,0
6901356,1,0,0,0
6925327,1,0,0,0
6949362,1,0,0,0
6969370,1,0,0,0
6993334,1,0,0,0
7013344,1,0,0,0
7033331,1,0,0,0
7053327,1,0,0,0
7077363,1,0,0,0
7097368,1,0,0,0
7117354,1,0,0,0
7141375,1,0,0,0
7165332,1,0,0,0
7189343,1,0,0,0
7209339,1,0,0,0
7233361,1,0,0,0
7253340,1,0,0,0
7277328,1,0,0,0
7297328,1,0,0,0
7317340,1,0,0,0
7341334,1,0,0,0
7361335,1,0,0,0
7381337,1,0,0,0
7401344,1,0,0,0
7425336,1,0,0,0
7445335,1,0,0,0
7465342,1,0,0,0
7489310,1,0,0,0
7509288,1,0,0,0
7529306,1,0,0,0
7549343,1,0,0,0
7573295,1,0,0,0
7593336,1,0,0,0
7617289,1,0,0,0
7641361,1,0,0,0
7665330,1,0,0,0
7689356,1,0,0,0
7710929,1,0,0,0
7734934,1,0,0,0
7754935,1,0,0,0
7778926,1,0,0,0
7802979,1,0,0,0
7826979,1,0,0,0
7850971,1,0,0,0
7874928,1,0,0,0
7894928,1,0,0,0
7918955,1,0,0,0
7942904,1,0,0,0
7966935,1,0,0,0
7986905,1,0,0,0
8006908,1,0,0,0
8030920,1,0,0,0
8054917,1,0,0,0
8078956,1,0,0,0
8102904,1,0,0,0
8122904,1,0,0,0
8146956,1,0,0,0
8170934,1,0,0,0
8194934,1,0,0,0
8214955,1,0,0,0
8238931,1,0,0,0
8258931,1,0,0,0
8282934,1,0,0,0
8306951,1,0,0,0
8330981,1,0,0,0
8350968,1,0,0,0
8375026,1,0,0,0
8398938,1,0,0,0
8422974,1,0,0,0
8446935,1,0,0,0
8466936,1,0,0,0
8486942,1,0,0,0
8506937,1,0,0,0
8530954,1,0,0,0
8550962,1,0,0,0
8571744,1,0,0,0
8592515,1,0,0,0
8612543,1,0,0,0
8636565,1,0,0,0
8656562,1,0,0,0
8680583,1,0,0,0
8704586,1,0,0,0
8724582,1,0,0,0
8748513,1,0,0,0
8768538,1,0,0,0
8788538,1,0,0,0
8812552,1,0,0,0
8836537,1,0,0,0
8856509,1,0,0,0
8877336,1,0,0,0
8898149,1,0,0,0
8922172,1,0,0,0
8942157,1,0,0,0
8962108,1,0,0,0
8982152,1,0,0,0
9002155,1,0,0,0
9026122,1,0,0,0
9050124,1,0,0,0
9074190,1,0,0,0
9098138,1,0,0,0
9118133,1,0,0,0
9142165,1,0,0,0
9162167,1,0,0,0
9182187,1,0,0,0
9206137,1,0,0,0
9226131,1,0,0,0
9246133,1,0,0,0
9266148,1,0,0,0
9286157,1,0,0,0
9306190,1,0,0,0
9330218,1,0,0,0
9354145,1,0,0,0
9374138,1,0,0,0
9398178,1,0,0,0
9422108,1,0,0,0
9446190,1,0,0,0
9470178,1,0,0,0
9494141,1,0,0,0
9518209,1,0,0,0
9538206,1,0,0,0
9558187,1,0,0,0
9578180,1,0,0,0
9602138,1,0,0,0
9622136,1,0,0,0
9646134,1,0,0,0
9666150,1,0,0,0
9690131,1,0,0,0
9714165,1,0,0,0
9738122,1,0,0,0
9762175,1,0,0,0
9786111,1,0,0,0
9810226,1,0,0,0
9830298,1,0,0,0
9854122,1,0,0,0
9874133,1,0,0,0
9898131,1,0,0,0
9922133,1,0,0,0
9946130,1,0,0,0
9966139,1,0,0,0
9986131,1,0,0,0
10010181,1,0,0,0
10030177,1,0,0,0
10050175,1,0,0,0
10070201,1,0,0,0
10094152,1,0,0,0
10114146,1,0,0,0
10134146,1,0,0,0
10158168,1,0,0,0
10178173,1,0,0,0
10198184,1,0,0,0
10222153,1,0,0,0
10246214,1,0,0,0
10266940,1,0,0,0
10286956,1,0,0,0
10307762,1,0,0,0
10327769,1,0,0,0
10348539,1,0,0,0
10368559,1,0,0,0
10392541,1,0,0,0
10412539,1,0,0,0
10432543,1,0,0,0
10452562,1,0,0,0
10476533,1,0,0,0
10496537,1,0,0,0
10516560,1,0,0,0
10540531,1,0,0,0
10564539,1,0,0,0
10588580,1,0,0,0
10608554,1,0,0,0
10628529,1,0,0,0
10652578,1,0,0,0
10672553,1,0,0,0
10692546,1,0,0,0
10712534,1,0,0,0
10732539,1,0,0,0
10752545,1,0,0,0
10776547,1,0,0,0
10796532,1,0,0,0
10820577,1,0,0,0
10840559,1,0,0,0
10860550,1,0,0,0
10884533,1,0,0,0
10904561,1,0,0,0
10928520,1,0,0,0
10952576,1,0,0,0
10976519,1,0,0,0
10996511,1,0,0,0
11020580,1,0,0,0
11044532,1,0,0,0
11068542,1,0,0,0
11088560,1,0,0,0
11112547,1,0,0,0
11132537,1,0,0,0
11152544,1,0,0,0
11172534,1,0,0,0
11192535,1,0,0,0
11212533,1,0,0,0
11232536,1,0,0,0
11256582,1,0,0,0
11276549,1,0,0,0
11300623,1,0,0,0
11324572,1,0,0,0
11348544,1,0,0,0
11372539,1,0,0,0
11392549,1,0,0,0
11412558,1,0,0,0
11432541,1,0,0,0
11456551,1,0,0,0
11476555,1,0,0,0
11496561,1,0,0,0
11520551,1,0,0,0
11541310,1,0,0,0
11561319,1,0,0,0
11585309,1,0,0,0
11605345,1,0,0,0
11626170,1,0,0,0
11650136,1,0,0,0
11670953,1,0,0,0
11690967,1,0,0,0
11710966,1,0,0,0
11730937,1,0,0,0
11754971,1,0,0,0
11774988,1,0,0,0
11798928,1,0,0,0
11818929,1,0,0,0
11842935,1,0,0,0
11862952,1,0,0,0
11883731,1,0,0,0
11903740,1,0,0,0
11923773,1,0,0,0
11943796,1,0,0,0
11967737,1,0,0,0
11987752,1,0,0,0
12011742,1,0,0,0
12031741,1,0,0,0
12051742,1,0,0,0
12071742,1,0,0,0
12091741,1,0,0,0
12115736,1,0,0,0
12135737,1,0,0,0
12155743,1,0,0,0
12179786,1,0,0,0
12199787,1,0,0,0
12219797,1,0,0,0
12239806,1,0,0,0
12263735,1,0,0,0
12283736,1,0,0,0
12303740,1,0,0,0
12327734,1,0,0,0
12347787,1,0,0,0
12367774,1,0,0,0
12391707,1,0,0,0
12411709,1,0,0,0
12431752,1,0,0,0
12451753,1,0,0,0
12475696,1,0,0,0
12495713,1,0,0,0
12519817,1,0,0,0
12544507,1,0,0,0
12566177,1,0,0,0
12590138,1,0,0,0
12610140,1,0,0,0
12634140,1,0,0,0
12658159,1,0,0,0
12682229,1,0,0,0
12706138,1,0,0,0
12730187,1,0,0,0
12754138,1,0,0,0
12774149,1,0,0,0
12798131,1,0,0,0
12818169,1,0,0,0
12842131,1,0,0,0
12862132,1,0,0,0
12882131,1,0,0,0
12906114,1,0,0,0
12926105,1,0,0,0
12946107,1,0,0,0
12970122,1,0,0,0
12994137,1,0,0,0
13018179,1,0,0,0
13038175,1,0,0,0
13062141,1,0,0,0
13082904,1,0,0,0
13102944,1,0,0,0
13126964,1,0,0,0
13150911,1,0,0,0
13170924,1,0,0,0
13190931,1,0,0,0
13212520,1,0,0,0
13232532,1,0,0,0
13256554,1,0,0,0
13276526,1,0,0,0
13296554,1,0,0,0
13320558,1,0,0,0
13344536,1,0,0,0
13368588,1,0,0,0
13388575,1,0,0,0
13412531,1,0,0,0
13436575,1,0,0,0
13456583,1,0,0,0
13476597,1,0,0,0
13500531,1,0,0,0
13520538,1,0,0,0
13540566,1,0,0,0
13564549,1,0,0,0
13588541,1,0,0,0
13612583,1,0,0,0
13636651,1,0,0,0
13660542,1,0,0,0
13680564,1,0,0,0
13704560,1,0,0,0
13724556,1,0,0,0
13744576,1,0,0,0
13765371,1,0,0,0
13785374,1,0,0,0
13805360,1,0,0,0
13829305,1,0,0,0
13849321,1,0,0,0
13869319,1,0,0,0
13893393,1,0,0,0
13917304,1,0,0,0
13941353,1,0,0,0
13961358,1,0,0,0
13985371,1,0,0,0
14005333,1,0,0,0
14025334,1,0,0,0
14049373,1,0,0,0
14069367,1,0,0,0
14093366,1,0,0,0
14117327,1,0,0,0
14137331,1,0,0,0
14157375,1,0,0,0
14181343,1,0,0,0
14205388,1,0,0,0
14229367,1,0,0,0
14253327,1,0,0,0
14277370,1,0,0,0
14297387,1,0,0,0
14317376,1,0,0,0
14341303,1,0,0,0
14361328,1,0,0,0
14381331,1,0,0,0
14401327,1,0,0,0
14421331,1,0,0,0
14445377,1,0,0,0
14469345,1,0,0,0
14493345,1,0,0,0
14517375,1,0,0,0
14541388,1,0,0,0
14565387,1,0,0,0
14589304,1,0,0,0
14613372,1,0,0,0
14637298,1,0,0,0
14661366,1,0,0,0
14685310,1,0,0,0
14705322,1,0,0,0
14729370,1,0,0,0
14753324,1,0,0,0
14777312,1,0,0,0
14801307,1,0,0,0
14821304,1,0,0,0
14845303,1,0,0,0
14865312,1,0,0,0
14889366,1,0,0,0
14913302,1,0,0,0
14933342,1,0,0,0
14957326,1,0,0,0
14981311,1,0,0,0
15001316,1,0,0,0
15021307,1,0,0,0
15045360,1,0,0,0
15069365,1,0,0,0
15089370,1,0,0,0
15113307,1,0,0,0
15138216,1,0,0,0
15158947,1,0,0,0
15182904,1,0,0,0
15202906,1,0,0,0
15222913,1,0,0,0
15246941,1,0,0,0
15266979,1,0,0,0
15286943,1,0,0,0
15307776,1,0,0,0
15331733,1,0,0,0
15355730,1,0,0,0
15375732,1,0,0,0
15399825,1,0,0,0
15419833,1,0,0,0
15443777,1,0,0,0
15467806,1,0,0,0
15487808,1,0,0,0
15508561,1,0,0,0
15528573,1,0,0,0
15552517,1,0,0,0
15572496,1,0,0,0
15596571,1,0,0,0
15620512,1,0,0,0
15640592,1,0,0,0
15664509,1,0,0,0
15684491,1,0,0,0
15708512,1,0,0,0
15732517,1,0,0,0
15754139,1,0,0,0
15774141,1,0,0,0
15794141,1,0,0,0
15818179,1,0,0,0
15838175,1,0,0,0
15858174,1,0,0,0
15878192,1,0,0,0
15902152,1,0,0,0
15922144,1,0,0,0
15946165,1,0,0,0
15966157,1,0,0,0
15990136,1,0,0,0
16014194,1,0,0,0
16038195,1,0,0,0
16062156,1,0,0,0
16086104,1,0,0,0
16110120,1,0,0,0
16130141,1,0,0,0
16154153,1,0,0,0
16174187,1,0,0,0
16198135,1,0,0,0
16218133,1,0,0,0
16242170,1,0,0,0
16262171,1,0,0,0
16286131,1,0,0,0
16306131,1,0,0,0
16330156,1,0,0,0
16350168,1,0,0,0
16374132,1,0,0,0
16394133,1,0,0,0
16414132,1,0,0,0
16438179,1,0,0,0
16462187,1,0,0,0
16486149,1,0,0,0
16510212,1,0,0,0
16530223,1,0,0,0
16554133,1,0,0,0
16578207,1,0,0,0
16602138,1,0,0,0
16626174,1,0,0,0
16650186,1,0,0,0
16674144,1,0,0,0
16694183,1,0,0,0
16718181,1,0,0,0
16742139,1,0,0,0
16762131,1,0,0,0
16786131,1,0,0,0
16806142,1,0,0,0
16826143,1,0,0,0
16846149,1,0,0,0
16866149,1,0,0,0
16886153,1,0,0,0
16910114,1,0,0,0
16930113,1,0,0,0
16950115,1,0,0,0
16970131,1,0,0,0
16994141,1,0,0,0
17018159,1,0,0,0
17038168,1,0,0,0
17062132,1,0,0,0
17082130,1,0,0,0
17102952,1,0,0,0
17122910,1,0,0,0
17146908,1,0,0,0
17168508,1,0,0,0
17188529,1,0,0,0
17208526,1,0,0,0
17232544,1,0,0,0
17252554,1,0,0,0
17276541,1,0,0,0
17300616,1,0,0,0
17320620,1,0,0,0
17344535,1,0,0,0
17364546,1,0,0,0
17388541,1,0,0,0
17412590,1,0,0,0
17432594,1,0,0,0
17456574,1,0,0,0
17480630,1,0,0,0
17504530,1,0,0,0
17525344,1,0,0,0
17549344,1,0,0,0
17573335,1,0,0,0
17593340,1,0,0,0
17617336,1,0,0,0
17641413,1,0,0,0
17661377,1,0,0,0
17685374,1,0,0,0
17705378,1,0,0,0
17729378,1,0,0,0
17749347,1,0,0,0
17773303,1,0,0,0
17794116,1,0,0,0
17815738,1,0,0,0
17835746,1,0,0,0
17855753,1,0,0,0
17879831,1,0,0,0
17903793,1,0,0,0
17923797,1,0,0,0
17943792,1,0,0,0
17964556,1,0,0,0
17988511,1,0,0,0
18008510,1,0,0,0
18028511,1,0,0,0
18048534,1,0,0,0
18072546,1,0,0,0
18096541,1,0,0,0
18117312,1,0,0,0
18141312,1,0,0,0
18161324,1,0,0,0
18181320,1,0,0,0
18201324,1,0,0,0
18225303,1,0,0,0
18249343,1,0,0,0
18269317,1,0,0,0
18290904,1,0,0,0
18310909,1,0,0,0
18334946,1,0,0,0
18354947,1,0,0,0
18378928,1,0,0,0
18398928,1,0,0,0
18418931,1,0,0,0
18442955,1,0,0,0
18462965,1,0,0,0
18486942,1,0,0,0
18506937,1,0,0,0
18526935,1,0,0,0
18546943,1,0,0,0
18566935,1,0,0,0
18586935,1,0,0,0
18606935,1,0,0,0
18626934,1,0,0,0
